"ID","time","GUT","CENT","WT","CP","CP_RUV","x","y","PRED","vachette.cov1","dosenr"
2,125,-1.31829404314844e-09,2.98196398914297,70,0.0851989711183707,0.0851989711183707,125,0.0851989711183707,0.0851989711183707,70,1
2,125.1,-1.27155456159586e-09,2.97345625172219,70,0.0849558929063484,0.0849558929063484,125.1,0.0849558929063484,0.0849558929063484,70,1
2,125.2,-1.22098912857337e-09,2.96497278745888,70,0.0847135082131107,0.0847135082131107,125.2,0.0847135082131107,0.0847135082131107,70,1
2,125.3,-1.16673042849857e-09,2.95651352710115,70,0.0844718150600329,0.0844718150600329,125.3,0.0844718150600329,0.0844718150600329,70,1
2,125.4,-1.10893334075679e-09,2.94807840159431,70,0.0842308114741232,0.0842308114741232,125.4,0.0842308114741232,0.0842308114741232,70,1
2,125.5,-1.047775645217e-09,2.93966734208016,70,0.0839904954880047,0.0839904954880047,125.5,0.0839904954880047,0.0839904954880047,70,1
2,125.6,-9.83458727747819e-10,2.93128027989645,70,0.0837508651398986,0.0837508651398986,125.6,0.0837508651398986,0.0837508651398986,70,1
2,125.7,-9.16208285733478e-10,2.92291714657621,70,0.0835119184736061,0.0835119184736061,125.7,0.0835119184736061,0.0835119184736061,70,1
2,125.8,-8.46275033589765e-10,2.91457787384719,70,0.0832736535384911,0.0832736535384911,125.8,0.0832736535384911,0.0832736535384911,70,1
2,125.9,-7.7393540828005e-10,2.9062623936312,70,0.0830360683894628,0.0830360683894628,125.9,0.0830360683894628,0.0830360683894628,70,1
2,126,-6.99492274831194e-10,2.89797063804353,70,0.0827991610869579,0.0827991610869579,126,0.0827991610869579,0.0827991610869579,70,1
2,126.1,-6.23275631849547e-10,2.88970253939232,70,0.0825629296969233,0.0825629296969233,126.1,0.0825629296969233,0.0825629296969233,70,1
2,126.2,-5.45643317036951e-10,2.88145803017796,70,0.0823273722907988,0.0823273722907988,126.2,0.0823273722907988,0.0823273722907988,70,1
2,126.3,-4.66981712706637e-10,2.87323704309247,70,0.082092486945499,0.082092486945499,126.3,0.082092486945499,0.082092486945499,70,1
2,126.4,-3.8770645129928e-10,2.86503951101887,70,0.0818582717433964,0.0818582717433964,126.4,0.0818582717433964,0.0818582717433964,70,1
2,126.5,-3.08263120898894e-10,2.85686536703062,70,0.0816247247723033,0.0816247247723033,126.5,0.0816247247723033,0.0816247247723033,70,1
2,126.6,-2.29127970748837e-10,2.84871454439093,70,0.0813918441254551,0.0813918441254551,126.6,0.0813918441254551,0.0813918441254551,70,1
2,126.7,-1.50808616767812e-10,2.84058697655221,70,0.0811596279014918,0.0811596279014918,126.7,0.0811596279014918,0.0811596279014918,70,1
2,126.8,-7.38447470657627e-11,2.83248259715544,70,0.0809280742044412,0.0809280742044412,126.8,0.0809280742044412,0.0809280742044412,70,1
2,126.9,1.1911725400693e-12,2.82440134002955,70,0.0806971811437014,0.0806971811437014,126.9,0.0806971811437014,0.0806971811437014,70,1
2,127,7.36931930092508e-11,2.8163431391908,70,0.0804669468340228,0.0804669468340228,127,0.0804669468340228,0.0804669468340228,70,1
2,127.1,1.43021176562151e-10,2.80830792884218,70,0.0802373693954908,0.0802373693954908,127.1,0.0802373693954908,0.0802373693954908,70,1
2,127.2,2.09057277724711e-10,2.80029564340362,70,0.0800084469543891,0.0800084469543891,127.2,0.0800084469543891,0.0800084469543891,70,1
2,127.3,2.73102603934338e-10,2.79230621756099,70,0.0797801776445997,0.0797801776445997,127.3,0.0797801776445997,0.0797801776445997,70,1
2,127.4,3.34952889037905e-10,2.78433958610381,70,0.0795525596029659,0.0795525596029659,127.4,0.0795525596029659,0.0795525596029659,70,1
2,127.5,3.94257500925703e-10,2.77639568399981,70,0.079325590971423,0.079325590971423,127.5,0.079325590971423,0.079325590971423,70,1
2,127.6,4.50655756322542e-10,2.76847444640192,70,0.0790992698971977,0.0790992698971977,127.6,0.0790992698971977,0.0790992698971977,70,1
